你在南我在北,5,262,['2021-02-12'],晴明、雪女、百旎，当看到熟悉的人物具象化了的感觉很奇妙。原本是不喜欢自己喜欢的IP被影视化的，是因为选角跟拍摄总是让人吞了苍蝇般难受。但是陈坤、周迅还有什么好挑的呢？简直不能更完美了。感谢网易用心对孩子。
已注销,4,96,['2021-02-12'],陈坤拿的可能是迪士尼公主剧本，magic hands magic hair 还跟小动物说话，还要跟恶龙做交易。多拍两部片吧产量太低对不起这个脸
別演戲（Don't a,1,95,['2021-02-12'],🥱看睡着了
哪吒男,1,48,['2021-02-13'],送给SM爱好者的格言：找不到好主人，就去当别人的主人！
llkoopp,1,90,['2021-02-12'],"看之前就知道是炒日本冷饭，也已经充分做好了唐风＝东洋风的心理建设。结果还是被这部片子的骚操作闪瞎了双眼。
本片又名《漫威宇宙之中美两开花》，开场长的和火箭浣熊一模一样的妖精让人大开眼界。中段博雅和赤炎的打斗完全复刻索尔与绿巨人在罗马斗兽场的摔跤比赛。并且把绿巨人变成了“红巨人”。到了结尾揭穿阴谋，原来是一个类似红骷髅的反派想要拥有无限宝石（鳞石）的力量而引发了一系列的骚乱。
所谓高潮戏的界桥大战是烂到令人发指的小孩过家家，捞钱的吃相实在是令人作呕。
大过年的，一星全给屈楚萧。他本人的气质与这部动不动“认主人”的影片达到了完美的吻合。当他对沈月说出“绑着你是为了保护你”的时候，他的sm性癖已经昭然若揭。
"
笙歌欢颜🍃,1,85,['2021-02-12'],好难看
没节操冻柠茶,1,75,['2021-02-12'],如此潦草。。。感觉把一部48集连续剧塞进2个小时电影中，什么都没交代明白，啥都没讲清楚，人物情感转折那叫一个生硬。白瞎了好演员，浪费了好ip，看得我都想卸载游戏！！
轻薄公子,1,72,['2021-02-12'],特效一分，陈坤周迅王丽坤沈月镰鼬等妖怪一分，编剧-1分，这是我唯一觉得公正的东西
湫🐔,1,70,['2021-02-12'],一星给2D，没了，zyj2都比这儿下饭
utism .,1,59,['2021-02-12'],我没想到竟然比郭敬明的还要难看😓
Zooey,1,64,['2021-02-12'],一星给美术
金鱼多喝水,1,58,['2021-02-12'],建议改成博雅传，周迅全程躺着歇菜，剧情各种作，逻辑还能漏洞百出一点吗？请所有骂过晴雅集的出来道歉谢谢。
正义B胜,2,74,['2021-02-12'],也不知道该怪李蔚然太无能，还是张家鲁太懈怠，又或者，纯粹是奇幻这个类型气数已尽？但是，陈坤周迅海仙楼斗法那段还是很好看的啊，说白了，就是现在中国电影人的想象力，也只够撑个十分钟呗。
森林海33,1,59,['2021-02-12'],被晴雅集吊打！
背影,4,354,['2021-02-12'],前几天在家看如懿传，周迅演技太好了，她饰演百旎就是最佳的选择！她的灵气就真的很适合这种奇幻风格的电影，一个眼神就将我带到阴阳师的世界里！姐姐杀我！
淡水无香,4,69,['2021-02-12'],完全服务于游戏粉也符合大众审美的高水准作品，看着晴明满中庭的小妖怪们立刻重新下载回游戏再抽个SSR回来，大家亦步亦趋的跟在晴明后面的样子太可爱了，特效可以称得上国产奇幻片之光，数字角色真的是做得非常细致，细节完全经得起推敲，大银幕看太惊艳了。配乐超级好听，不愧是梅林茂，想要原声碟ost的水平，守护平京城的大场面也很带感，结合人妖生死与共抵御外敌的情感燃到想飙泪，视觉效果算是近年来华语奇幻片中特效最好的一部了，值回电影票。
法罗岛帝国皇后,2,68,['2021-02-12'],对不起迅哥和厂花，但是郭敬明真的赢了，最喜欢的是屈楚萧，人品在男性荷尔蒙面前不值一提（那个妖怪是《银河护卫队》的浣熊?）
轻薄公子,1,72,['2021-02-12'],特效一分，陈坤周迅王丽坤沈月镰鼬等妖怪一分，编剧-1分，这是我唯一觉得公正的东西
陈.Jn,5,112,['2021-02-12'],作为一个资深阴阳师和决战平安京玩家，看到这部电影觉得完全看不够，里面的人物和环境设定都太还原游戏剧情了，陈坤演出了晴明一丝妖气，各个N级小妖怪都好可爱啊～我会再看一遍的！真的棒棒！
想去的远方,3,57,['2021-02-12'],拍这种奇幻片虽有原IP加持，但最重要的也是编剧和导演的想象力。从技法上来说还可以，虽说场面和剧情都缺乏丰富想象力，但是完成度总体还可以。周迅不出所料最大亮点，既帅又飒，演技还在线。剧情偏老俗，基本都能猜出下一步走向。部分场面、视效、运镜、打戏等技术方面偶有亮点，但也少有尴尬和低幼。不公不过，值得一张票钱吧。
湫🐔,1,70,['2021-02-12'],一星给2D，没了，zyj2都比这儿下饭
utism .,1,59,['2021-02-12'],我没想到竟然比郭敬明的还要难看😓
狗花儿妹妹,4,73,['2021-02-12'],"超出氪金游戏er预期，并没有拍得很暗黑，甚至还有点童趣。陈伟霆演反派太有那味儿了，要不真的浪费了这张亦正亦邪的脸。没玩过游戏也不影响观感，甚至有很多小惊喜，晴明家小妖们的造型都设计得好有特色，特别逼真，数字角色的精细程度堪比好莱坞大片，圆滚滚的鬼赤不要太可爱！故事看完还有点意犹未尽，电影结束不要着急离场，有彩蛋。
"
Zooey,1,64,['2021-02-12'],一星给美术
